timestamp,heartRate,xAccel,yAccel,pressure,xMag,yMag
2024-11-30 03:06:13.583375 UTC,86,279,546,102981.796875,416,212
2024-11-30 03:06:15.118591 UTC,87,224,528,102981.796875,283,29
2024-11-30 03:06:20.120735 UTC,88,119,933,102981.796875,395,756
2024-11-30 03:06:25.035807 UTC,89,228,538,102981.796875,99,641
2024-11-30 03:06:30.039535 UTC,89,217,537,102981.796875,95,649
2024-11-30 03:06:35.148255 UTC,86,213,547,102981.796875,127,646
2024-11-30 03:06:40.191023 UTC,88,221,532,102981.796875,111,674
2024-11-30 03:06:45.067311 UTC,85,217,538,102981.796875,119,660
2024-11-30 03:06:50.073231 UTC,82,216,549,102981.796875,79,712
2024-11-30 03:06:58.797583 UTC,81,216,551,102981.796875,82,711
2024-11-30 03:07:01.541935 UTC,83,212,551,102981.796875,84,705
2024-11-30 03:07:05.129727 UTC,79,207,555,102981.796875,71,698
2024-11-30 03:07:10.103791 UTC,79,-169,451,102981.796875,138,319
2024-11-30 03:07:15.071551 UTC,79,-214,595,102981.796875,103,424
2024-11-30 03:07:20.028367 UTC,77,-218,447,102981.796875,103,297
2024-11-30 03:07:25.031071 UTC,78,-269,468,102981.796875,51,262
2024-11-30 03:07:30.097807 UTC,81,-288,609,102981.796875,67,446
2024-11-30 03:07:35.091727 UTC,80,-296,219,102981.796875,133,200
2024-11-30 03:07:41.220351 UTC,79,207,515,102981.796875,104,485
2024-11-30 03:07:45.093487 UTC,81,204,510,102981.796875,109,488
2024-11-30 03:07:50.061039 UTC,84,205,517,102981.796875,101,496
2024-11-30 03:07:55.035743 UTC,87,223,517,102981.796875,106,504
2024-11-30 03:08:00.099983 UTC,86,213,517,102981.796875,109,499
2024-11-30 03:08:05.030015 UTC,81,215,524,102981.796875,102,512
2024-11-30 03:08:10.068111 UTC,79,216,522,102980.5,111,510
2024-11-30 03:08:15.128703 UTC,84,211,524,102979.6171875,106,500
2024-11-30 03:08:20.089535 UTC,81,212,525,102978.921875,105,499
2024-11-30 03:08:25.329391 UTC,79,215,518,102979.984375,106,499
2024-11-30 03:08:30.111455 UTC,81,209,526,102978.21875,98,515
2024-11-30 03:08:35.066207 UTC,80,216,528,102979.2265625,106,512
2024-11-30 03:08:40.155391 UTC,83,211,528,102977.984375,100,501
2024-11-30 03:08:45.055935 UTC,82,211,528,102978.1171875,106,512
